S,X1,X2,X3,A,Y_1,Y_0,d_pop,d_out,epsilon,inter,Y
0,.5420898,1.927729,.3960683,0,4.407977,2.865887,1.54209,1.54209,,,
0,1.787114,.009177,.0648379,0,4.648242,1.861129,2.787114,2.787114,,,
0,.9023783,.5332747,-2.722554,0,.6154771,-1.286901,1.902378,1.902378,,,
0,.071718,1.554294,1.019947,0,3.717677,2.645959,1.071718,1.071718,,,
0,-.9112185,.0539933,1.660789,0,.8923448,.8035634,.0887815,.0887815,,,
0,-1.606674,1.77285,.4999451,0,.0594479,.6661216,-.6066737,-.6066737,,,
0,-.0447497,.1097895,-.1225558,0,.8977343,-.057516,.9552503,.9552503,,,
0,1.683687,.2204244,1.221933,0,5.809731,3.126045,2.683686,2.683686,,,
0,-.5205281,.5080882,-.6075874,0,-.1405554,-.6200273,.4794719,.4794719,,,
0,-.600109,.946204,-1.074601,0,-.3286149,-.7285059,.399891,.399891,,,
0,1.000981,.733694,.5961133,0,4.33177,2.330789,2.000981,2.000981,,,
0,-1.185165,.9832121,1.50097,0,1.113853,1.299018,-.1851647,-.1851647,,,
0,-.2054816,-1.133945,-.3555623,0,-.9004709,-1.694989,.7945185,.7945185,,,
0,-.1394922,.3113696,-.310588,0,.7217973,-.1387105,.8605078,.8605078,,,
0,-.7640718,-1.578286,1.056259,0,-1.05017,-1.286098,.2359282,.2359282,,,
0,.684813,.6261077,-.4057708,0,2.589963,.9051498,1.684813,1.684813,,,
0,-.2641,-.3942077,.1714281,0,.2490205,-.4868795,.7359,.7359,,,
0,.5558333,-.915726,-1.444018,0,-.2480773,-1.803911,1.555833,1.555833,,,
0,.1767908,-.0429621,-.0459209,0,1.264699,.0879078,1.176791,1.176791,,,
0,-1.953165,.8324889,-1.304984,0,-3.378825,-2.42566,-.9531651,-.9531651,,,
0,-.857428,-1.137419,-.4902261,0,-2.342501,-2.485074,.1425722,.1425722,,,
0,2.532491,.0853432,.6459359,0,6.796261,3.26377,3.532491,3.532491,,,
0,.9538774,-.3738123,-1.349992,0,1.183951,-.7699264,1.953877,1.953877,,,
0,1.905647,-.8896818,.8065905,0,4.728202,1.822555,2.905647,2.905647,,,
0,-1.010699,.6641958,.5688498,0,.2116478,.2223467,-.0106989,-.0106989,,,
0,-.3319076,-1.182311,.3558457,0,-.4902807,-1.158373,.6680924,.6680924,,,
0,-.0774169,.786392,-1.882676,0,-.2511176,-1.173701,.9225831,.9225831,,,
0,.1321284,.2681294,-.3116019,0,1.220784,.0886559,1.132128,1.132128,,,
0,.7410071,1.178716,.4987357,0,4.159466,2.418459,1.741007,1.741007,,,
0,-.0507204,.8442307,.9510254,0,2.693815,1.744536,.9492795,.9492795,,,
0,-.8679867,.3826662,-.5894193,0,-.9427265,-1.07474,.1320133,.1320133,,,
